Problems
"To have a stable life, and many other reasons, like travel, meet people and experience something that not many people experience ","Sometimes you don't get enough time to eat everything because you get 15 minutes to eat and take the trash out, which makes it around 11min to eat and 4min to take the trash out",You have to eat as fast as if you hadn't eaten in 3 days,By giving at least 5min more to eat
To provide for my future family and because I don't feel mature enough to go straight to college,"Often times for non-mre meals, I find myself finishing my food and still being a little hungry at the end",Likely in the same way,Simply putting more food on our plates or allowing seconds after you finish
For my family and to better my self,I got the corners right but I get it ripped up every morning ,You have to make you bed a certain way but I can't make it to ,No
To help my family,Been messing up my insides ,Get ready to not be able to poop as much and get backed up or poop everyday,Add salt
My dad ,Just want more phone time that's all ,It's tough but it's manageable at least two times a week instead of one ,Gift good troops more phone time and allow them to earn phone time thru various events or time hacks 
"I joined for educational benefits, stability, and to serve my country.",One thing that could have been done differently is that training is more centralized so Drill Sergeants know what we've learned and what we've not learned.,Have the drill sergeants talk about a way to centralize training so it's the same and know what has been done.,Having drill sergeants  talk about what they've taught and how they taught it.
In joined for new and better opportunities ,It's hot in South Carolina so ac isn't too strong ,The air conditioner isn't good and they make us write a lot of words for discipline purposes ,Telling drill sergeants to be not unreasonable and better maintenance in the barracks/bays 
My dad was successful in the cyber security field so I am trying to do that and get a high level clearance through the army. I also don't want to be in any type of student debt or anything like that and I like physically challenging myself ,I have a lot of friends and family that I spend time with and communicate with on a daily basis at home and I kinda uprooting myself from that. It just sucks right now but it'll all pay off when I graduate ,As much as I am happy with the career I'll be starting I miss my social life and living at home with my family ,Training 
For job opportunities ,Like when we have to do a task as a platoon people dont listen and do there own things sometimes and it gets frustrating ,That at points people would just don't work together to get something done and that leads to corrective training down the line ,No I think I've pretty much covered what I think on the matter 
"I've always wanted to join. I love my country and want to defend all that it stands for. My grandfather was also in the Army Corps of Engineers during WWII, but not many other family members. I want to honor my family and my country by being the best soldier I can possibly be.",The chow is fairly small portions. Servers do not serve full scoops or portions of food most of the time,The chow is fairly small portions. Servers do not serve full scoops or portions of food most of the time,Maybe a lack of availability of good amounts of food to give to troops? Also the servers need to stop serving half scoops of food or broken pieces of food and give full servings in order for me to be a little bit fuller,Just make sure everyone gets a full serving or up the amounts of food portions that are allotted to each soldier
New start on life,Better tasting food and more time to eat,I have 15 minutes to eat food that doesn't even taste good,Let me make me the food
To set up a future for myself ,more food ,I wish we got more food here because I be starving a lot ,No
2003,On Sundays I wish we had our phones for 1 hour,Have my phone a longer amount of time on sundays,Idk
"College is expensive, I felt a need to stand up and serve my country, I felt like i would fit in better to the military than college",I don't get fed enough i feel like and when i do i don't get enough time to eat it all,the food does not taste good and i do not get enough food to eat. whenever i do receive enough food i don't get enough time to eat it all.,give more time for the recruits to eat and give them good food not fake food that makes you constipated 
I don't want my parents paying for my tuition anymore. I joined so the army can pay for mine.," Knowing the chain of command, the creed, weapons, navigation ","""There are a lot of stuff that is somewhat required to know prior to joining the army. The more you know, the more you can be prepared. The more you are prepared the easier military would be for you.""",Meditate
I was looking to travel the around the USA and world and to get a job I can have afterwards so I can eventually start a family and business ,So we have to go row by row to get our food but I would like to sit down as soon as we get out ohone ,Ohone ,Let the people who get back to there spots sit down and eat right away 
Career advancement,We had many people arguing with each other and not actually doing their jobs on fire guard or other expectations,"In BCT, there at times is a disconnect in communications, respect, and responsibility among fellow platoon members. This needs to be addressed or trainees need a way to voice and alleviate these concerns because too many people pull all of the weight",There needs to be a more thorough or accessible means for reporting this information to drill sergeants or others in control that keeps platoon members safe and anonymous while also addressing and solving these issues.
Wanted to serve ,Maybe the COVID situation could have been done differently ,COVID should be handle differently,There shouldn't be COVID testing when people have to be quarantined anyway
I wanted the warrior title,Longer personal time to do things like write letters and do homework ,Having more personal time,They need to be on the same page
To make my mom proud ,I don't have anything in mind,I don't know ,Yes
I joined to further my career in Healthcare and to try and help as many people as I can ,We spent a more time just taking notes on what we were learning. For example with learning about land navigation it would have been nice to be able to use maps and a compass as we were learning about in the the classroom ,Being able to do what is being taught in the classroom setting as it is being taught to you ,More organization and communication between the drill sergeants that are in charge if the platoon so they know what has already been taught and where they need to continue on from 
To get in better shape,"Some food was good, but stuff such as the eggs could be better or at least not cold","Some food was good, but other food could be better",Unsure
Because I felt that it was the best choice for my future considering my interest and that It would give me more options than if I went to college,Just wish that I would be able to have bigger portions of food since we burn so many calories through the day from doing physical training ,I would say that I wish I had more food to eat since that I burn so much energy while we work out ,I think it's because we can't eat at the DFAC because we are in yellow phase so they can only send us so much food at once and the company has to ration it so that every troop gets the same amount of food,I don't think there's much of a way to fix the problem other than having COVID go away so that there won't be a yellow phase 
I want to further my education and have a lil more stability ,The portions of food here is not enough for the pt and extra curriculum things they gave us to do ,That with all the physical training we do here the food and the allotted time to eat it is simply not enough ,Someone in rank get the defac on the right page 
I needed to get to college and lose weight,had i joined my 11 grade i wouldve been done with basic training ,i would say going to basic 11th grade would be better,i just might become a recruiter
I wanted to setup my future with my significant other ,"BCT is tough on me mentally. I miss home and it's really hard to be away from my significant other. It brings me tears to know that I'm away from them. Also, I'm scared I won't make all the events ",BCT is a very mentally challenging experience. More mentally than physically ,Take things one day at a time. Talk to other battle buddies about how I'm feeling
2003,No I do not have anything that i wished wouldve been different , ,"
"
"I wanted to serve since I was little, one because my brother was in to army and I felt like it was  in my personal morals to serve.",I wish were spent more time learning our curriculum and memorizing and leaning what we need to know than having to stop learning to leave and do other things of,"later, or the best day.",Give a longer eating period and in service church.
